"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"f[5,103]",0.0861222946356,0.112770987308864,0.00566939525,0.0510086,0.382155625,1.01,11822
"f[1,104]",0.043793024955325,0.0629609512497593,0.002123674,0.02400155,0.2058889,1.05,3569
"f[2,104]",0.04421007059505,0.0925151748584978,0.00191365625,0.02052355,0.2284504,1.05,6308
"f[3,104]",0.06158895646925,0.104123308919561,0.00284887075,0.0298513,0.329335075000001,1.02,5466
"f[4,104]",0.09343154322765,0.181712263936556,0.00349775225,0.0400205,0.535411100000001,1.02,7958
"f[5,104]",0.063981788900025,0.113715767318347,0.00294695275,0.03198885,0.326466075,1.04,9954
"f[1,105]",0.0776150791845749,0.11146387334562,0.00292107325,0.04157035,0.36993375,1.1,2393
"f[2,105]",0.0996780351219,0.207785248551756,0.00289598725,0.0392752,0.590066325,1.07,4977
"f[3,105]",0.176385046034075,0.311199581970167,0.004575972,0.06942925,1.05278175,1.09,3617
"f[4,105]",0.758684135657425,1.06759284976687,0.007236889,0.3153925,3.70976725,1.06,1395
"f[5,105]",0.098508306526325,0.157164943695276,0.00409343025,0.05074825,0.491303325,1.03,7328
"f[1,106]",0.05595089630244,0.0918775959753293,0.00173766975,0.0274675,0.286170375,1.08,1225
"f[2,106]",0.026554433227075,0.0426082848374415,0.000936402975,0.01305455,0.13706085,1.03,1641
"f[3,106]",0.039995844154025,0.0607428615303994,0.0016082625,0.0209782,0.19749345,1.05,1430
"f[4,106]",0.038074738546025,0.0518283268386644,0.001561118,0.0210794,0.178285125,1.03,1197
"f[5,106]",0.0289360675140375,0.0392821405685996,0.00121268025,0.0162591,0.133086425,1.02,1353
"f[1,107]",0.0198502658067443,0.0349745358209065,0.0003732699,0.00832621,0.11398825,1.01,817
"f[2,107]",0.0103979096290838,0.0232270857251132,0.000134265425,0.003932615,0.0597123900000001,1.07,1421
"f[3,107]",0.0153054622787647,0.0281385315834461,0.000257474675,0.00623459,0.0853119175,1.05,1083
"f[4,107]",0.0180535615575365,0.0354770754204617,0.00025525855,0.006894635,0.107603425,1.05,1143
"f[5,107]",0.0139251522296945,0.0288040443578621,0.000214106375,0.005632535,0.077445325,1.11,1267
"f[1,108]",0.073813790933405,0.124259395068508,0.00230410775,0.03613075,0.371151675000001,1.05,1805
"f[2,108]",0.04369188836326,0.0796263893591153,0.001129969,0.019732,0.231815775,1.01,2453
"f[3,108]",0.057098932508305,0.081437548408739,0.00209957925,0.03067305,0.270092725000001,1.01,1646
"f[4,108]",0.06473922695259,0.104943074181387,0.00194879325,0.0323785,0.321004175,1.01,1856
"f[5,108]",0.05488781233605,0.086261296824191,0.0017009125,0.02734825,0.27543895,1.02,1965
"f[1,109]",0.47714187178525,0.583488507686017,0.034306915,0.3001405,1.999498,1.01,4857
"f[2,109]",0.673697082980325,0.805911162414927,0.0405041,0.41644,2.84134550000001,1,8894
"f[3,109]",0.5113273694625,0.546884646173618,0.0421397725,0.353087,1.914463,1.01,10127
"f[4,109]",0.7347623450895,0.788552089859503,0.06228207,0.507345,2.746668,1.01,7655
"f[5,109]",0.59782352142375,0.629292787075594,0.0528125925,0.413866,2.2277745,1,12489
"f[1,110]",0.307875522415175,0.427032109078443,0.0178409575,0.1800825,1.373897,1,4631
"f[2,110]",0.51067821989175,0.747128386589267,0.0221268075,0.271481,2.45431025,1.02,5898
"f[3,110]",0.39242940065415,0.473843968677155,0.0275992225,0.2484365,1.60580375,1.01,10928
"f[4,110]",0.5667331605465,0.655289591144567,0.03823116,0.3628875,2.3199965,1,7819
"f[5,110]",0.44938536005925,0.511304029101084,0.0327339625,0.295939,1.81177475,1,12343
"f[1,111]",1.252812405316,1.87661221518051,0.0673773675,0.7070325,5.71223325000001,1.09,2144
"f[2,111]",1.6536480785095,2.133249196583,0.0646613125,0.973723,7.28117400000001,1.01,3095
"f[3,111]",1.03997114762475,1.37161739862988,0.06600563,0.6464395,4.3094945,1.01,4928
"f[4,111]",1.4554982983125,1.72747284501556,0.0857011625,0.9217265,6.051405,1.01,4257
"f[5,111]",0.46765524202675,0.529319469030701,0.0368683875,0.3117995,1.8124945,1.01,10291
"f[1,112]",0.2266824427102,0.246965690822148,0.01686804,0.1530595,0.875227925000001,1.03,5384
"f[2,112]",0.432855945282,0.551351951867703,0.022006465,0.248543,1.883219,1.07,8265
"f[3,112]",0.96212566898975,1.31543914527827,0.04159112,0.543478,4.31244475,1.06,5206
"f[4,112]",0.67741783178125,0.789818297682242,0.0423660525,0.435277,2.77608725,1.06,6837
"f[5,112]",0.50637968813975,0.616418738936916,0.03507637,0.32105,2.0791535,1.08,10715
"f[1,113]",0.339920890169925,0.38337768857034,0.0277785575,0.2276635,1.3211245,1.04,4077
"f[2,113]",0.8832952248215,0.923605162197704,0.0560868375,0.600476,3.38326,1.03,8656
"f[3,113]",1.696423802483,1.95855037659989,0.10912495,1.123495,6.65801475000002,1.03,4396
"f[4,113]",1.146352918875,1.10842816077871,0.102287125,0.837089,3.97274925,1.03,6558
"f[5,113]",1.05267652850875,1.21359104336589,0.07783951,0.6890105,4.20266825,1.04,6510
"f[1,114]",0.159208250450825,0.207224054354237,0.009628467,0.09576235,0.689946325,1.03,3954
"f[2,114]",0.159828073051675,0.177670087753953,0.0109637125,0.1034745,0.650282,1.02,8171
"f[3,114]",0.1654268995481,0.167763246081296,0.01367003,0.115472,0.611925575000001,1.01,6755
"f[4,114]",0.3621509798395,0.408472283658108,0.0239965725,0.2307305,1.4820135,1.01,10736
"f[5,114]",0.4224495359265,0.607761041297964,0.022394995,0.235618,1.89163525,1.02,8773
"f[1,115]",0.07848675660045,0.122835572087267,0.003764119,0.041714,0.379596625,1.03,3547
"f[2,115]",0.08142363276665,0.108456888415981,0.00480853125,0.046532,0.372330525,1.02,6144
"f[3,115]",0.12245249201325,0.164021912174398,0.00725970475,0.0695349,0.564666,1.02,7329
