"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"pJS[3,155]",0.0186868,0.0469558,0.0868109,0.04967406394625,0.0183599496236589,NA,0.00011742657634371,0.6,24446,0.021986293708858,1.00066574427762
"pJS[4,155]",0.0134693,0.0400096,0.0813112,0.04342211668775,0.0189206452276241,NA,0.000195214852700285,1,9394,0.0489168817757093,1.00257488518695
"pJS[5,155]",0.0236031,0.0543612,0.0955176,0.0570492909725,0.019362981577515,NA,0.000108159635305755,0.6,32049,0.00530302538215959,1.00139395921607
"pJS[1,156]",0.007481,0.02003705,0.0379125,0.02131003432275,0.0083104641324723,NA,5.66748952642185e-05,0.7,21502,0.0213186743539561,1.00296375273811
"pJS[2,156]",0.0108939,0.02814295,0.0513579,0.0298040919025,0.0109674870398376,NA,6.8883617075584e-05,0.6,25350,0.01508189678677,1.00076679654563
"pJS[3,156]",0.0255846,0.05892645,0.104771,0.061844900115,0.021398429461277,NA,0.000146848783505603,0.7,21234,0.0263552808642718,1.00107387775555
"pJS[4,156]",0.0112863,0.0343441,0.0694426,0.03719754223375,0.0161641182371354,NA,0.000163875362317907,1,9729,0.0463437935537319,1.00180701675015
"pJS[5,156]",0.0270236,0.05937175,0.103601,0.0620736313,0.0203599547517374,NA,0.000119640726962297,0.6,28960,0.0124824910061359,1.00164574000959
"pJS[1,157]",0.00678046,0.0188682,0.0354546,0.0201346445345,0.00786245162174882,NA,5.21575091272938e-05,0.7,22724,0.0182965171857976,1.00224599491791
"pJS[2,157]",0.0085668,0.0236789,0.0440865,0.025242888074,0.00972338986494645,NA,7.14914968618742e-05,0.7,18498,0.0259130803912048,1.00086831363091
"pJS[3,157]",0.0132444,0.03472695,0.0658239,0.037041324742,0.0143838774820631,NA,0.000107052274295014,0.7,18053,0.0158315379792043,1.00059181181334
"pJS[4,157]",0.00554975,0.0198689,0.0420362,0.021876872912,0.0103548268801055,NA,9.92437562233854e-05,1,10886,0.0530755761313755,1.00152077867591
"pJS[5,157]",0.0111554,0.02876625,0.0554197,0.03070905261725,0.012026075324343,NA,8.03592025955109e-05,0.7,22396,0.0128269325006523,1.00059499005868
"pJS[1,158]",0.012908,0.02988245,0.0534544,0.03147036151075,0.010981395442653,NA,7.72728634089493e-05,0.7,20196,0.0192611520078207,1.00135045745684
"pJS[2,158]",0.0448445,0.0844152,0.135064,0.0869859581075,0.0239265408104248,NA,0.000212506665997268,0.9,12677,0.0287365754947406,1.00397080129317
"pJS[3,158]",0.0318299,0.07060935,0.121959,0.0739017928225,0.0243201299108416,NA,0.000171990666045156,0.7,19995,0.0261003039181805,1.00226950192693
"pJS[4,158]",0.0107705,0.0325415,0.0646967,0.03508987266375,0.0150006769300032,NA,0.000145215453711377,1,10671,0.0468304303017856,1.00150192952965
"pJS[5,158]",0.023422,0.0538245,0.0936806,0.0563472423675,0.0189141332132696,NA,0.000115038200750589,0.6,27033,0.0166213565440821,1.00136921024894
"pJS[1,159]",0.0163965,0.03763105,0.0649508,0.03937472246075,0.0130020116513367,NA,9.41707373512012e-05,0.7,19063,0.0222393444074908,1.00085430094616
"pJS[2,159]",0.0123122,0.03047345,0.0553295,0.03203505410175,0.0115289605896087,NA,7.22196303943915e-05,0.6,25484,0.0167531867496465,1.00094285199448
"pJS[3,159]",0.0310623,0.06815305,0.119006,0.0712749282725,0.0235735826992889,NA,0.000160524974407172,0.7,21566,0.0130764875727208,1.00110932438206
"pJS[4,159]",0.0167382,0.04438985,0.0853131,0.04747542090075,0.0187943586018733,NA,0.000194159967393419,1,9370,0.0475228297356067,1.00088753304584
"pJS[5,159]",0.0348288,0.0740773,0.123329,0.07696371839,0.0234613349752894,NA,0.000152712073475364,0.7,23603,0.018913703666829,1.00092025831602
"pJS[1,160]",0.00803568,0.0212106,0.0391758,0.0225518948475,0.00849683201827547,NA,5.67976217087726e-05,0.7,22380,0.020336665152942,1.00216437830855
"pJS[2,160]",0.0192616,0.0430716,0.0757025,0.045196171055,0.0152040804647136,NA,0.000109211061977012,0.7,19381,0.0249879417829429,1.0007335817943
"pJS[3,160]",0.0202895,0.0508046,0.0910357,0.0536451553375,0.0191009432628823,NA,0.000126417241988734,0.7,22830,0.0145311544848085,1.00083607435326
"pJS[4,160]",0.0104895,0.0300054,0.0593688,0.0323267382335,0.0135423759779358,NA,0.000137731883534165,1,9668,0.0480038207419618,1.00100012774661
"pJS[5,160]",0.0223669,0.05126415,0.0900819,0.05378575410575,0.018117203037323,NA,0.000112025216342534,0.6,26155,0.0195524773878812,1.00040632294105
"pJS[1,161]",0.00734555,0.0195539,0.0366625,0.020849800948,0.00799085637361923,NA,5.33291025302111e-05,0.7,22452,0.0158109809605472,1.00293086662681
"pJS[2,161]",0.0129771,0.03262395,0.0593711,0.034529657363,0.0125900020433143,NA,9.14855728796815e-05,0.7,18939,0.0232780522265242,1.00083962417909
"pJS[3,161]",0.0118295,0.0324654,0.0622078,0.03467691278225,0.0138248227025617,NA,8.80857762955156e-05,0.6,24632,0.0272271964400874,1.00012677023015
"pJS[4,161]",0.0123959,0.0351037,0.0687303,0.0376868640215,0.0155144068959064,NA,0.000157020165812322,1,9762,0.0436555853396993,1.00042070680958
"pJS[5,161]",0.0130468,0.03392485,0.0625296,0.03591705614925,0.0133522969745434,NA,7.86592047094269e-05,0.6,28815,0.0197820355705076,1.00040768274283
"pJS[1,162]",0.00930612,0.02416015,0.044174,0.02560776051925,0.0095083196170939,NA,6.78991834538885e-05,0.7,19610,0.0259219640795682,1.00226550774575
"pJS[2,162]",0.010924,0.0284261,0.0526206,0.03015557110225,0.0113621672206117,NA,7.43668084400089e-05,0.7,23343,0.0192269195452401,1.00054410201457
"pJS[3,162]",0.0138631,0.0367678,0.0703829,0.0392405794525,0.0154654225390474,NA,0.000103283631121926,0.7,22421,0.0203969627774184,1.00005559247188
"pJS[4,162]",0.0100275,0.0296412,0.0586191,0.03196494754175,0.0134818063637702,NA,0.000134116784092322,1,10105,0.0409515289697879,1.000800077193
"pJS[5,162]",0.0131951,0.0329254,0.0622004,0.0349329080075,0.0133014749218148,NA,8.02075103039408e-05,0.6,27502,0.00992247945997073,1.00042797434259
"pJS[1,163]",0.0101487,0.0260965,0.0481937,0.02770492954375,0.0102866428367263,NA,7.16093174175799e-05,0.7,20635,0.0252180070833095,1.00326989058481
"pJS[2,163]",0.0144956,0.0349846,0.0634813,0.03685511305475,0.0132867201271163,NA,8.90371935467853e-05,0.7,22269,0.0264632859259498,1.00087162152348
"pJS[3,163]",0.0103101,0.0307778,0.0600367,0.0330039318365,0.0137103705671644,NA,8.26126419777193e-05,0.6,27543,0.00416861437176543,1.00039128470739
"pJS[4,163]",0.0108143,0.03256575,0.0634058,0.0349415104775,0.014485659943383,NA,0.000136770738903839,0.9,11217,0.0416701680654475,1.00057763642543
"pJS[5,163]",0.0330374,0.07017605,0.11715,0.0729162917775,0.0223888683235554,NA,0.000140987410531905,0.6,25218,0.0133671123937809,1.00073600554865
"pJS[1,164]",0.0102508,0.0256726,0.0473838,0.02712551725,0.0100430066870341,NA,6.86185270396798e-05,0.7,21421,0.0143506914378223,1.00360223236446
"pJS[2,164]",0.0115966,0.0301177,0.0556894,0.03192627094225,0.0119921587343104,NA,7.51359699808752e-05,0.6,25474,0.0153809620587209,1.00125602385946
"pJS[3,164]",0.0204751,0.0509449,0.0948218,0.05401235107675,0.020154065675119,NA,0.000125434205932839,0.6,25816,0.0137179676490481,1.00017348858383
"pJS[4,164]",0.0142105,0.04025015,0.0771231,0.0431459701155,0.0173424835299969,NA,0.000156048030344306,0.9,12351,0.0379641284267409,1.00104175348814
"pJS[5,164]",0.023135,0.05215875,0.0911153,0.054610472857,0.018167685398652,NA,0.000105753269033359,0.6,29513,0.0136318324238281,1.00051355256969
"pJS[1,165]",0.00875298,0.0228991,0.0431838,0.0244308818115,0.00933352305126688,NA,6.4295668052307e-05,0.7,21073,0.027706619239051,1.00572569499094
"pJS[2,165]",0.013742,0.03431405,0.0626574,0.036166180267,0.0133232610126437,NA,8.86236218095958e-05,0.7,22601,0.0198645240587336,1.00113983880061
"pJS[3,165]",0.0229566,0.05775995,0.105367,0.06097358723375,0.0222408972624367,NA,0.000145272118870132,0.7,23439,0.0181212940887493,1.00031012256659
"pJS[4,165]",0.014744,0.040639,0.0783261,0.04350736534325,0.0175661988692103,NA,0.000165838090651921,0.9,11220,0.0498179569048156,1.00104946483327
"pJS[5,165]",0.0173462,0.0426326,0.0760106,0.04481147100425,0.0158494059860702,NA,9.62736813646435e-05,0.6,27103,0.0177876351584045,1.00057460491799
"pJS[1,166]",0.00906496,0.02375945,0.0445852,0.0252954275,0.00967439877389797,NA,7.73845582684846e-05,0.8,15629,0.0407009696224396,1.00422323265919
"pJS[2,166]",0.0154602,0.0389914,0.0704629,0.04116555389575,0.0148587604097967,NA,0.000118383130472554,0.8,15754,0.0257715968952123,1.00054937088636
"pJS[3,166]",0.0127659,0.03619465,0.0708732,0.03877632204175,0.0159422973212453,NA,0.000122974434546138,0.8,16806,0.0313899127294894,1.00043405184112
"pJS[4,166]",0.00802303,0.02488215,0.052001,0.0272053883835,0.0123194184860742,NA,0.000127668305769255,1,9311,0.054538321088969,1.00206436700474
"pJS[5,166]",0.0129823,0.0347629,0.0641704,0.0368973207165,0.0138710838609825,NA,0.000101404088056449,0.7,18712,0.0321747823225411,1.00064378518218
"pJS[1,167]",0.0139159,0.03317955,0.0593994,0.0349893895445,0.0123807212040694,NA,8.66571369969022e-05,0.7,20412,0.0275255579058728,1.0025071740349
"pJS[2,167]",0.0121593,0.031803,0.0590363,0.0338060675215,0.0126602234315918,NA,7.81201637900428e-05,0.6,26264,0.00931608139756267,1.00052909383789
"pJS[3,167]",0.0160375,0.0426804,0.0818564,0.04554230364975,0.0179694164489637,NA,0.000122490812219596,0.7,21521,0.0151298703582344,1.00016832606275
"pJS[4,167]",0.00798873,0.02590695,0.0530394,0.02814420808175,0.0125542058927542,NA,0.00012590508723333,1,9942,0.0472641827114603,1.00121775094591
