"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"rho[2,132]",1.033508996085,0.242960666634165,0.728562825,0.9765045,1.669351,1,41631
"rho[3,132]",1.1451145615925,0.429844600426643,0.71066675,1.025055,2.275091,1,20954
"rho[4,132]",1.0302726660425,0.300484339769791,0.665365775,0.959643,1.800771,1,33087
"rho[5,132]",1.110661340655,0.416712585964214,0.679615675,0.996685,2.20861025,1,23656
"rho[1,133]",1.0856398906425,0.341869147549858,0.759365975,0.9963945,1.94468025,1.01,66438
"rho[2,133]",1.1067098541075,0.298193878461388,0.8077858,1.02269,1.89724075,1,33179
"rho[3,133]",1.13415450412,0.378821767327334,0.757198925,1.02857,2.14382075,1,24390
"rho[4,133]",1.16024671982,0.410927987645052,0.750912,1.0446,2.2435515,1,24668
"rho[5,133]",1.207743409215,0.524158232734252,0.753990625,1.0545,2.566621,1,17920
"rho[1,134]",1.0936305940925,0.318511447883854,0.785687925,1.01462,1.8672705,1,40676
"rho[2,134]",1.1436446495675,0.33751224334192,0.837286,1.04727,2.04124,1,25291
"rho[3,134]",1.1935010577425,0.449446066400683,0.79153375,1.06757,2.350803,1,17892
"rho[4,134]",1.11704163713,0.333069116551423,0.758127,1.03205,1.9903205,1,26541
"rho[5,134]",1.2346722632975,0.548377323467688,0.781378975,1.078385,2.64632399999999,1.01,14466
"rho[1,135]",1.0757580892725,0.308004735045269,0.784738775,1.00451,1.81534,1.01,34796
"rho[2,135]",1.168508064935,0.428495125001191,0.845459975,1.04321,2.3038905,1.01,14812
"rho[3,135]",1.25627227125,0.611427850776604,0.80921195,1.073405,2.86902574999999,1,9972
"rho[4,135]",1.158057656055,0.41342848150403,0.774587925,1.04419,2.26349399999999,1,18527
"rho[5,135]",1.2497413937025,0.684873212400045,0.7878369,1.06223,2.88626,1.01,10313
"rho[1,136]",1.1036503836375,0.38256725344973,0.78091595,1.00467,2.0292515,1.01,50066
"rho[2,136]",1.2172885822875,0.478427527655461,0.8444096,1.06624,2.51967,1,18409
"rho[3,136]",1.15938530056,0.416824644288877,0.781720625,1.039485,2.25238,1,21000
"rho[4,136]",1.2160711545775,0.506324747290916,0.77345045,1.06732,2.563002,1,16763
"rho[5,136]",1.572768066565,1.16449416962614,0.812287925,1.198505,4.62441824999999,1,8288
"rho[1,137]",1.1203574401625,0.376411840892501,0.7966785,1.022135,2.0433535,1,46202
"rho[2,137]",1.3448177875925,0.644721539020445,0.866767925,1.131155,3.11763275,1,13180
