"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.1000","psrf"
"alpha.fec",-24.7115,-11.26955,1.90982,-11.2985264954313,6.80425118422875,NA,0.0338457970982683,0.5,40416,0.000332996985821143,1.00000898051432
"beta1.fec",-0.0801111,0.309036,0.696266,0.309679918229607,0.198583344288981,NA,0.000986950340805386,0.5,40485,0.000171087789715115,1.00001610959209
"beta2.fec",-0.0045655,-0.00171045,0.00108583,-0.00171123087508168,0.00144677530051046,NA,7.18446483193824e-06,0.5,40552,1.76282032568525e-05,1.00002355306881
