Species	ID	Sex	CTmin	CTmax	Mass	SVL	CC	BC	Site	day	month	year	sprint_1_tb	sprint_1_speed	sprint_2_tb	sprint_2_speed	sprint_3_tb	sprint_3_speed
C_nigropunctatum	114	NoValue	9.8	40.8	15.75	95	NA	NA	Gallery-Forest	29	8	2013	NA	NA	NA	NA	NA	NA
C_nigropunctatum	214	NoValue	11	42.4	7.5	74	NA	NA	Gallery-Forest	29	8	2013	NA	NA	NA	NA	NA	NA
C_nigropunctatum	399	Male	7.4	43.2	23	96	NA	NA	Cerrado_IBGE	NA	NA	NA	NA	NA	NA	NA	NA	NA
C_nigropunctatum	454	NoValue	NA	NA	22	91	NA	NA	Cerrado_IBGE	NA	NA	NA	NA	NA	NA	NA	NA	NA
C_nigropunctatum	500	NoValue	NA	NA	NA	NA	NA	NA	Cerrado_IBGE	NA	NA	NA	NA	NA	NA	NA	NA	NA
C_nigropunctatum	503	Male	NA	NA	11.23	77	NA	NA	Cerrado_IBGE	21	8	2013	NA	NA	NA	NA	NA	NA
C_nigropunctatum	504	NoValue	NA	NA	13	79	NA	NA	Cerrado_IBGE	NA	NA	NA	NA	NA	NA	NA	NA	NA
C_nigropunctatum	505	NoValue	9.2	39.8	11.75	83	NA	NA	Cerrado_IBGE	21	8	2013	NA	NA	NA	NA	NA	NA
C_nigropunctatum	507	NoValue	9.2	39.6	20	90	NA	NA	Cerrado_IBGE	22	8	2013	NA	NA	NA	NA	NA	NA
C_nigropunctatum	508	Male	7.6	36.7	25	92	NA	NA	Cerrado_IBGE	22	8	2013	NA	NA	NA	NA	NA	NA
C_nigropunctatum	509	NoValue	9.6	43.6	19	91	NA	NA	Cerrado_IBGE	22	8	2013	NA	NA	NA	NA	NA	NA
C_nigropunctatum	510	NoValue	9.8	NA	17.5	91	NA	NA	Cerrado_IBGE	NA	NA	NA	NA	NA	NA	NA	NA	NA
C_nigropunctatum	512	NoValue	NA	NA	25	97	NA	NA	Cerrado_IBGE	NA	NA	NA	NA	NA	NA	NA	NA	NA
C_nigropunctatum	548	NoValue	7.6	44.2	25	92	NA	NA	Cerrado_IBGE	23	8	2013	NA	NA	NA	NA	NA	NA
C_nigropunctatum	12A	NoValue	11.4	44.6	14.75	91	NA	NA	Gallery-Forest	5	9	2013	NA	NA	NA	NA	NA	NA
C_nigropunctatum	14A	NoValue	12.6	40.6	10.75	82	NA	NA	Gallery-Forest	29	8	2013	NA	NA	NA	NA	NA	NA
T_itambere	1	M	13.6	39.9	15.5	95	NA	NA	Cerrado_IBGE	15	8	2016	20.4	10.97	25.3	19.33	35	13.61
T_itambere	2	M	NA	NA	11	67	83	83	Cerrado_IBGE	29	8	2017	NA	NA	27.9	NA	NA	NA
T_itambere	160	NA	NA	NA	NA	40	46	46	Cerrado_IBGE	22	5	2017	NA	NA	27.3	NA	NA	NA
T_itambere	203	NA	NA	NA	NA	35	40	40	Cerrado_IBGE	23	5	2017	NA	NA	27.6	NA	NA	NA
T_itambere	573	M	15.2	44.8	4.5	64	NA	NA	Cerrado_IBGE	5	7	2016	17.2	7.8	25.5	9.81	33.4	12.1
T_itambere	593	J	17.1	39.9	NA	NA	NA	NA	Cerrado_IBGE	15	8	2016	17.4	4.41	25.6	9.63	32.5	10.48
T_itambere	598	M	10.8	39	NA	NA	NA	NA	Mata_JBB	30	8	2016	21.8	10.63	28.7	15.61	32.9	10.48
T_itambere	602	M	13.2	45.9	9	72	NA	NA	Cerrado_IBGE	6	6	2016	21.8	11.49	26.9	14.18	31.6	16.27
T_itambere	603	M	14.2	46.2	19.5	80	NA	NA	Cerrado_IBGE	15	4	2016	21.1	12.51	26.2	15.66	37.5	15.94
T_itambere	609	M	13.7	44.9	15	71	NA	NA	Cerrado_IBGE	21	9	2016	19.5	12.82	30.3	12.97	37.7	13.34
T_itambere	610	M	14.9	43.9	15.5	65	NA	NA	Cerrado_IBGE	21	9	2016	23.2	6.95	30.3	7.68	40	5.82
