Campanha	Parcela	Armadilha	Ponto_filtro	Ponto	MSFA_s	MSFB_s	MSFC_s	Massa	ChAb	ChAb	ChAb	Chao	CeFch	CeFch	CeFch	Ceu	CntCau	CntCau	CntCau	Caules	BurCh	Cupim	Distancia	Circunferencia	Tronco
47	C	42	1	C1	302.5	209.8	207.5	239.9333333	0	25	1	8.666666667	6	0	2	2.666666667	29	19	10	19.33333333	1	4	4.39	25	20
47	C	43	1	C1	58.5	182.7	240.1	160.4333333	7	25	0	10.66666667	7	0	25	10.66666667	16	20	15	17	0	0	1.9	24	20
47	C	44	2	C2	133.2	237.5	128.5	166.4	9	24	0	11	2	2	4	2.666666667	15	8	10	11	1	3	1.2	21	21
47	C	45	2	C2	190.5	166.5	160.7	172.5666667	0	9	0	3	7	20	6	11	20	14	14	16	0	4	2.2	32	6
47	C	46	3	C3	81.2	186.9	101.7	123.2666667	9	0	15	8	10	0	3	4.333333333	12	8	18	12.66666667	0	10	2.6	23	12
47	C	47	3	C3	238.8	223.6	152.6	205	5	7	0	4	25	0	11	12	11	18	10	13	1	2	4.5	37	16
47	C	48	4	C4	195.2	237.7	221.8	218.2333333	0	3	7	3.333333333	21	11	19	17	18	12	11	13.66666667	1	6	1	26	11
47	C	49	4	C4	71.8	106.8	147.1	108.5666667	11	22	7	13.33333333	3	5	5	4.333333333	13	18	9	13.33333333	0	0	2.2	24	6
47	C	50	0	C0	122.5	65.8	89.7	92.66666667	18	1	25	14.66666667	0	11	5	5.333333333	20	11	13	14.66666667	1	0	70	50	6
48	BT	1	0	BT0	6.4	35.6	20.7	20.9	8	1	9	6	0	0	0	0	14	22	12	16	2	0	8.8	24	0
48	BT	2	1	BT1	52.6	36.8	26	38.46666667	5	1	6	4	0	0	0	0	10	29	13	17.33333333	1	3	6.6	32	5
48	BT	3	1	BT1	7.8	10.5	11.9	10.06666667	6	9	0	5	0	0	0	0	15	10	13	12.66666667	0	2	6.13	24	3
48	BT	4	2	BT2	45.5	66.7	10.7	40.96666667	23	18	5	15.33333333	2	0	0	0.666666667	22	11	21	18	0	0	5.6	20	2
48	BT	5	2	BT2	14.7	16.2	24	18.3	22	18	23	21	0	0	0	0	16	15	10	13.66666667	0	0	4.55	25	2
48	BT	6	3	BT3	82	36.7	17	45.23333333	10	20	0	10	0	0	4	1.333333333	34	21	26	27	0	0	5.2	31	6
